tick,hp,checkpoint,no_progress,fall_like,deaths_est,use_item_cd,side_pref
120,5.000,0,121,2,0,4,0,13,-0.3188
0,5.000,0,1,3,0,4,0,8,-0.0037
30,5.000,0,31,3,0,4,0,8,-0.0037
60,5.000,0,61,3,0,4,0,8,-0.0037
90,5.000,0,91,3,0,4,0,8,-0.0037
120,5.000,0,121,3,0,4,0,8,-0.0037
0,5.000,0,1,1,0,4,0,18,0.2753
30,5.000,0,31,1,0,4,0,18,0.2753
60,5.000,0,61,1,0,4,0,18,0.2753
90,5.000,0,91,1,0,4,0,18,0.2753
120,5.000,0,121,1,0,4,0,18,0.2753
150,0.000,0,151,2,0,3,0,8,0.0003
180,5.000,0,181,2,0,3,0,8,0.0000
210,5.000,0,211,2,0,3,0,8,0.0000
240,5.000,0,241,2,0,3,0,8,0.0000
0,5.000,0,1,1,0,4,0,27,0.0058
30,5.000,0,31,1,0,4,0,27,0.0058
60,5.000,0,61,1,0,4,0,27,0.0058
90,5.000,0,91,1,0,4,0,27,0.0058
120,5.000,0,121,1,0,4,0,27,0.0058
150,5.000,0,151,1,0,4,0,8,0.0000
180,5.000,1,15,1,0,4,0,8,0.0000
210,5.000,2,12,1,0,4,0,8,0.0000
240,5.000,2,42,1,0,4,0,8,0.0000
0,5.000,0,1,1,0,4,0,12,0.1731
30,5.000,0,31,1,0,4,0,12,0.1731
60,5.000,0,61,1,0,4,0,12,0.1731
0,5.000,0,1,1,0,4,0,15,0.2835
30,5.000,0,31,1,0,4,0,15,0.2835
60,5.000,0,61,1,0,4,0,15,0.2835
90,5.000,0,91,2,0,3,0,15,0.2835
0,5.000,0,1,1,0,4,0,19,0.0711
30,5.000,0,31,1,0,4,0,19,0.0711
60,5.000,0,61,1,0,4,0,19,0.0711
90,5.000,0,91,1,0,4,0,19,0.0711
120,5.000,0,121,1,0,4,0,19,0.0711
0,5.000,0,1,1,0,4,0,23,-0.0409
30,5.000,0,31,1,0,4,0,23,-0.0409
60,5.000,0,61,1,0,4,0,23,-0.0409
90,5.000,0,91,1,0,4,0,23,-0.0409
120,5.000,0,121,1,0,4,0,23,-0.0409
0,5.000,0,1,2,0,4,0,8,-0.0006
30,5.000,0,31,2,0,4,0,8,-0.0006
60,5.000,0,61,2,0,4,0,8,-0.0006
90,5.000,1,6,2,0,4,0,8,-0.0006
120,5.000,1,36,2,0,4,0,8,-0.0006
0,5.000,0,1,1,0,4,0,15,0.0445
0,5.000,0,1,1,0,4,0,12,0.1476
0,5.000,0,1,1,0,4,0,11,0.2061
0,5.000,0,1,1,0,4,0,26,0.3281
30,5.000,0,31,1,0,4,0,15,0.0445
30,5.000,0,31,1,0,4,0,26,0.3281
30,0.000,0,31,2,0,4,0,11,0.2061
30,5.000,0,31,1,0,4,0,12,0.1476
60,5.000,0,61,1,0,4,0,26,0.3281
60,5.000,0,61,2,0,3,0,11,0.2061
60,5.000,0,61,1,0,4,0,15,0.0445
60,5.000,0,61,1,0,4,0,12,0.1476
90,5.000,0,91,1,0,4,0,26,0.3281
90,5.000,0,91,1,0,4,0,12,0.1476
90,5.000,0,91,2,0,3,0,15,0.0445
90,5.000,0,91,3,0,2,0,11,0.2061
120,5.000,0,121,2,0,3,0,26,0.3281
120,0.000,0,121,4,15,2,0,11,0.2061
120,5.000,0,121,2,0,3,0,15,0.0445
120,5.000,0,121,1,0,4,0,12,0.1476
0,5.000,0,1,1,0,4,0,13,0.3334
30,5.000,0,31,1,0,4,0,13,0.3334
60,5.000,0,61,1,0,4,0,13,0.3334
90,5.000,0,91,1,0,4,0,13,0.3334
